run,chunk,concept,variable,operator,threshold,statement_type,object,evidence_verbatim,threshold_in_evidence,evidence
grounding_run1,Q,GlasgowComaScale,gcs,<,15.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run1,Q,RespiratoryRate,Respiratory Rate,>=,22.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run1,Q,SystolicBloodPressure,Arterial Blood Pressure systolic,<=,100.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run1,K,Cancer,cancer,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.Cancer, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,Pneumonia,pneumonia,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.Pneumonia, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,HIV,hiv,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.HIV, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,CirrhosisOfLiver,cirrhosis,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.CirrhosisOfLiver, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,KidneyDisease,kidney disease,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.KidneyDisease, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,CardiacInsufficiency,heart failure,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.CardiacInsufficiency, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run1,K,SepticShock,,,,not_groundable,Sepsis,True,True,"g.add((SNOMED.SepticShock, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,Q,GlasgowComaScale,gcs,<,15.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run2,Q,RespiratoryRate,Respiratory Rate,>=,22.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run2,Q,SystolicBloodPressure,Arterial Blood Pressure systolic,<=,100.0,risk_condition,ProlongedICUStay,True,True,"The qSOFA uses 3 variables to predict death and prolonged ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 2"
grounding_run2,M,MeanArterialPressure,Arterial Blood Pressure mean,>,65.0,treatment_target,SepticShock,True,True,Previous SSC guidelines recommended targeting a MAP of greater than 65 mm Hg for initial resuscitation.
grounding_run2,K,Cancer,cancer,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.Cancer, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,Pneumonia,pneumonia,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.Pneumonia, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,HIV,hiv,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.HIV, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,CirrhosisOfLiver,cirrhosis,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.CirrhosisOfLiver, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,KidneyDisease,kidney disease,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.KidneyDisease, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,CardiacInsufficiency,heart failure,present,,risk_condition,Sepsis,True,True,"g.add((SNOMED.CardiacInsufficiency, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
grounding_run2,K,SepticShock,,,,not_groundable,Sepsis,True,True,"g.add((SNOMED.SepticShock, SCHEMA.increasesRiskOf, SNOMED.Sepsis))"
