검수ID,범위,주어,관계,목적어,출처파일,draft_rule_id,소스간_불일치_플래그,가이드라인근거_출처,가이드라인근거_요약,근거등급_delirium_kg,근거등급_draft,근거방향지지,지지판단_사유,코호트_nA,코호트_위험비,코호트_위험차_pp,코호트_해석주의,알려진충돌,MIMIC매핑,원문검증상태,권고,권고사유,사람_최종판단
R-01,본검수,BenzodiazepineUse,increasesRiskOf,Delirium,둘 다,PADIS-D-01,없음 (방향·등급 일치),"p.18 raw D-030 (G-007) · p.19 raw D-031 (G-008, fs D-029)",2018 Ungraded Statement: 조절 가능한 인자 중 강한 근거로 섬망과 '연관'된 두 가지가 벤조디아제핀 사용과 수혈.,strong,strong,Y,강한 근거의 연관 진술과 방향 일치. 단 '연관(association)'이지 권고문·인과 진술은 아님.,"5,166",1.87,+25.9,방향 일치. 조(crude) 연관이며 초조 환자에게 투여되는 적응증 교란 가능(padis/docs §5). 모델−데이터 −0.279 로 모델이 이 공리를 가장 덜 지킴.,없음 (2018 진정제 선택 근거 D-022 SEDCOM 도 벤조 대비 덱스 섬망 감소 → 같은 방향),"가능 — itemid 221385/221668/221623, stage5 공리 사용 중",확인,승인,"원문 확인됨, 방향·등급 일치. 교란 주석만 유지.",
R-02,본검수,BloodTransfusion,increasesRiskOf,Delirium,둘 다,PADIS-D-02,없음. 단 draft mimic_ready=false · concepts '미매핑' 은 stage5 실사용과 불일치(문서 갱신 필요),p.18 raw D-030 (G-007) · p.19 raw D-031 (G-008),R-01 과 같은 문장. 수혈은 강한 근거의 조절 가능 위험인자 두 가지 중 하나.,strong,strong,Y,강한 근거 연관 진술과 방향 일치.,"10,697",1.04,+1.3,거의 무연관. 구현 정의(이전 24h 적혈구 수혈)가 원 연구 노출 정의와 다를 수 있음. 조 연관.,없음,"가능 — eda/25_ 로 inputevents 에서 회수(transfusion24/cum), stage5 사용 중",확인,승인,원문 확인됨. 데이터 약한 연관은 노출 정의 문제로 기록.,
R-03,본검수,Age (≥65),increasesRiskOf,Delirium,둘 다,PADIS-D-03,없음 (임계 65 양쪽 동일),p.18 raw D-030 (G-007) — 문장이 'greater' 에서 잘림,Ungraded Statement 의 조절 불가 강한 근거 목록 첫 항목 'greater [age]'.,strong,strong,Y,방향 일치. 단 65세 임계는 가이드라인이 아닌 우리 구현 선택(원문은 연속적 '고령').,"53,704",1.15,+4.4,"방향 일치, 크기 작음. 조 연관.",없음 (p.18 raw D-028 목록의 'older age' 는 신체억제 관련 인자로 추정 — 같은 방향이라 충돌 아님),가능 — anchor_age 기반,부분(문장 절단),승인,방향 확인. 임계 65 는 '구현 선택'으로 KG 주석에 명기 권장.,
R-04,본검수,Dementia,increasesRiskOf,Delirium,둘 다,PADIS-D-04,없음. draft source 가 문장 ID 없이 한국어 의역만 있음,p.18 raw D-030 (G-007) 의 잘린 뒷부분으로 추정 — repo 텍스트로 확인 불가,2018 조절 불가 강한 근거 목록에 치매 포함(팀 정리 문서 기준). repo 의 추출 문장은 'greater' 에서 끊겨 치매 부분이 없음.,strong,strong,Y(미검증),팀 문서·KG 기재와 일치하나 원문 문장 자체는 repo 에 없음.,"5,824",1.83,+24.5,방향 일치. 입원 단위 NLP 동반질환 추출이라 오분류 가능.,없음,"가능 — run_extraction_B.py TERMS 'dementia', stage5 사용 중",미검증,승인,조건: PDF p.18 Ungraded Statement 원문 1회 대조.,
R-05,본검수,PriorComa,increasesRiskOf,Delirium,둘 다,PADIS-D-06,없음. draft source 문장 ID 없음,p.18 raw D-030 잘린 뒷부분으로 추정 — repo 텍스트로 확인 불가,조절 불가 강한 근거 목록의 '선행 혼수'(팀 문서 기준).,strong,strong,Y(미검증),팀 문서와 일치하나 원문 문장 미확보. '선행(prior)'의 시점 정의가 모호.,,,,없음,간접 중첩: 혼수(RASS −4/−5)는 DeepSedation(R-12)·평가불능(R-23)과 정의가 겹침,부분 — GCS 채널은 23_ 스크립트 입력에 있으나 PriorComa 개념·'선행' 시점 미정의,미검증,승인,조건: PDF 원문 대조. 모델 투입 전 DeepSedation 과 시점·정의 분리 필요.,
R-06,본검수,EmergencySurgery (ICU 입실 전),increasesRiskOf,Delirium,delirium_kg.py,,⚠ delirium_kg.py 에만 있음 (draft 누락),p.18 raw D-030 잘린 뒷부분으로 추정 — repo 텍스트로 확인 불가,원문 항목은 '입실 전 응급수술 또는 외상' 한 덩어리로 알려져 있음. KG 는 이를 EmergencySurgery 와 Trauma 둘로 쪼갬.,strong,—,Y(미검증),방향은 팀 문서와 일치. 'ICU 입실 전' 한정자가 트리플에 없고 주석에만 있음.,,,,없음,R-07(Trauma) 과 원문상 한 항목,미매핑 — admissions.admission_type·services 로 구성 가능하나 미구현,미검증,승인,조건: PDF 원문 대조 + draft 에 추가 여부 결정. '입실 전' 한정자 명시.,
R-07,본검수,Trauma,increasesRiskOf,Delirium,둘 다,PADIS-D-05,등급 불일치 가능: 두 파일 모두 strong 이나 원문 moderate 목록에도 'trauma' 가 있음,"p.19 raw D-033 (moderate 목록, 확인) · p.18 raw D-030 뒷부분('입실 전 응급수술 또는 외상', 미확인)",2018: 중간 근거로 위험을 높이는 인자로 고혈압 병력·신경계 질환 입원·외상·향정신성 약물을 나열.,strong,strong,부분,방향은 맞음. 그러나 확인 가능한 원문은 '외상'을 moderate 로 둠. strong 은 '입실 전' 한정일 때만.,"12,445",1.34,+10.1,방향 일치. NLP 동반질환 'trauma' 로 입실 전 시점 제한 없음 → moderate 정의에 더 가까움.,원문 내부: strong(입실 전 응급수술·외상) vs moderate(외상),"가능 — TERMS 'trauma', 단 '입실 전' 시점 미구현. stage5 에서 strong(가중 1.0)으로 사용 중",부분,수정,현재 구현(시점 제한 없음)에는 moderate 가 맞음. 입실 전 한정 구현 시에만 strong.,
R-08,본검수,APACHEScore,increasesRiskOf,Delirium,delirium_kg.py,,⚠ delirium_kg.py 에만 있음 (draft 누락). ASA 점수 누락,p.18 raw D-030 잘린 뒷부분으로 추정 — repo 텍스트로 확인 불가,조절 불가 강한 근거 목록의 'APACHE 및 ASA 점수 상승'(팀 문서 기준).,strong,—,Y(미검증),방향 일치하나 연속 점수에 임계값이 없어 단항 술어로 컴파일 불가. ASA 누락.,,,,없음,MechanicalVentilation 무영향(R-20) 해석 시 중증도 교란의 축과 겹침,불가(대체 필요) — MIMIC-IV 에 APACHE 없음. SOFA/SAPS-II/OASIS 대체는 동일 개념 아님,미검증,수정,임계값·대체 점수 정의와 ASA 포함 여부를 정해야 공리로 쓸 수 있음.,
R-09,본검수,Hypertension (병력),increasesRiskOf,Delirium,둘 다,PADIS-D-07,없음. draft source 문장 ID 없음(raw D-033 로 고정 가능),p.19 raw D-033,중간 근거로 위험 증가: 고혈압 병력 포함.,moderate,moderate,Y,"moderate 목록에 명시, 방향·등급 일치.","73,958",1.15,+4.3,"방향 일치, 크기 작음. 유병률 높은 입원 단위 NLP 변수라 희석 가능.",없음,"가능 — TERMS 'hypertension', stage5 사용 중",확인,승인,"원문 확인, 방향·등급 일치.",
R-10,본검수,NeurologicAdmission,increasesRiskOf,Delirium,delirium_kg.py,,⚠ delirium_kg.py 에만 있음 (draft 누락),p.19 raw D-033,중간 근거로 위험 증가: 신경계 질환으로 인한 입원.,moderate,—,Y,"moderate 목록에 명시, 방향 일치.",,,,없음,없음 (단 신경계 질환 자체가 CAM-ICU 평가 가능성에 영향 → 측정 편향 가능),"미매핑 — services(NMED/NSURG)·first_careunit(Neuro) 로 구성 가능, 미구현",확인,승인,원문 확인. draft 에 매핑과 함께 추가할지 결정 필요.,
