no,subject,predicate,object,evidence,근거가_지지하나(Y/부분/N),메모,원문에_evidence_있음(자동),gold_구분(검토 후 열람),chunk,_출처,row_id,판정,이유
4,Lactate,increasesRiskOf,Death,"For adults suspected of having sepsis, we suggest measuring blood lactate Weak recommendation, low-quality evidence Rationale The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",부분,젖산과 사망률의 연관만 서술하며 위험 증가(방향성)는 명시하지 않음.,Y(본문),held-out,,regex,Q01,부분,락테이트와 사망률의 연관성만 언급하며 위험 증가(방향성)를 직접 진술하지 않음.
4,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",,,Y(본문),gold 밖,01_intro_screening,fewshot_llm_run2,Q02,부분,상승된 락테이트가 패혈성 쇼크 정의의 구성요소라는 정의적 관계로 연관성 진술과는 다름.
3,SepticShock,increasesRiskOf,Sepsis,"We recommend against using qSOFA compared to SIRS, NEWS, or MEWS as a single screening tool for sepsis or septic shock Strong recommendation, moderate-quality evidence Rationale The qSOFA uses 3 variables to predict death and pro - longed ICU stay in patients with known or suspected sepsis: a Glasgow Coma Score < 15, a respiratory rate ≥ 22 breaths/min and a systolic blood pressure ≤ 100 mmHg.",N,qSOFA 선별도구에 대한 내용으로 패혈성 쇼크가 패혈증 위험을 높인다는 서술이 없음.,Y(본문),held-out,,regex,Q03,N,qSOFA 선별도구에 관한 문장으로 패혈성 쇼크가 패혈증 위험을 높인다는 내용이 없음.
3,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",,,Y(본문),gold 밖,01_intro_screening,fewshot_llm_run2,Q04,Y,락테이트 수치와 사망률의 연관성이 확립되었다고 직접 진술함.
9,Age,increasesRiskOf,Death,"1 Recommendations on timing of antibiotic administration 1189 broad-spectrum regimens including agents active against MRSA were associated with higher mortality, particularly among patients without MRSA [137, 151, 155, 156].",N,광범위 항생제(MRSA 커버)와 사망률에 관한 내용으로 나이와 무관함.,Y(본문),예시,,regex,Q05,N,MRSA 광범위 항생제 요법과 사망률의 연관성이며 나이에 대한 언급이 없음.
6,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,,,Y(본문),gold 밖,01_intro_screening,fewshot_llm_run2,Q06,부분,저혈압이 패혈성 쇼크 정의에 포함된다는 정의적 서술로 연관성을 직접 진술하지 않음.
1,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",,,Y(본문),예시,01_intro_screening,fewshot_llm_run2,Q07,Y,패혈증이 환자의 1/3~1/6을 사망에 이르게 한다고 직접 진술함.
6,Sepsis,associatedWith,Death,"Delayed admissions of critically ill patients from ED are associated with decreased sepsis bundle compliance and increased mortality, ventilator duration, and ICU and hospital length of stay [84].",N,사망률 증가와 연관된 것은 응급실 입원 지연이지 패혈증 자체가 아님.,Y(본문),예시,,regex,Q08,N,응급실 입원 지연과 사망률 증가의 연관성이며 패혈증 자체와 사망의 관계가 아님.
5,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",,,Y(본문),gold 밖,01_intro_screening,fewshot_llm_run2,Q09,Y,락테이트 상승이 패혈증 진단 가능성을 유의하게 높인다고 연관성을 직접 진술함.
7,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",,,Y(본문),held-out,02_infection,fewshot_llm_run2,Q10,Y,패혈성 쇼크의 높은 사망 위험을 직접 언급함.
8,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 언급함.,Y(본문),held-out,,regex,Q11,Y,패혈성 쇼크의 높은 사망 위험을 직접 언급함.
10,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",,,Y(본문),held-out,06_longterm_goals,fewshot_llm_run2,Q12,Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 진술함.
7,SepticShock,associatedWith,Sepsis,"The mortality reduction associated with early antimi - crobials appears strongest in patients with septic shock, where a number of studies have reported a strong asso - ciation between time-to-antibiotics and death in patients with septic shock but weaker associations in patients 1187 without septic shock [98, 109, 110].",N,항생제 투여 시점과 사망의 연관을 다루며 패혈성 쇼크와 패혈증 간 관계를 서술하지 않음.,Y(본문),held-out,,regex,Q13,N,항생제 투여 시점과 사망의 연관성에 관한 문장으로 패혈성 쇼크와 패혈증의 연관성 진술이 아님.
12,KidneyDisease,increasesRiskOf,Death,"Tonelli M, Manns B, Feller‑Kopman D (2002) Acute renal failure in the intensive care unit: a systematic review of the impact of dialytic modal‑ ity on mortality and renal recovery.",N,가이드라인 본문이 아닌 참고문헌 서지 정보임.,Y(본문 밖: 참고문헌·서지),held-out,,regex,Q14,N,참고문헌 서지 정보로 지침 본문이 아님.
10,Pneumonia,increasesRiskOf,Death,"While there appears to be no overall effect of neu - raminidase inhibitors on mortality in patients with influ - enza-related pneumonia, there may be an effect when administered early in the course of the disease [225].",N,뉴라미니다제 억제제의 사망률 효과에 관한 내용으로 폐렴의 사망 위험 증가를 서술하지 않음.,Y(본문),예시,,regex,Q15,N,뉴라미니다제 억제제의 사망률 효과에 관한 내용으로 폐렴의 사망 위험 증가를 진술하지 않음.
2,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",,,Y(본문),held-out,01_intro_screening,fewshot_llm_run2,Q16,Y,패혈성 쇼크가 환자의 상당 비율을 사망에 이르게 한다고 직접 진술함.
1,SepticShock,associatedWith,Death,"Despite some inconsistency, a meta-analysis of 50 observational studies on the effect of performance improvement programmes showed that these programmes were associated with bet - ter adherence to sepsis bundles along with a reduction in mortality (OR 0.66; 95% CI 0.61–0.72) in patients with sepsis and septic shock [27].",N,사망률 감소와 연관된 것은 성과개선 프로그램이지 패혈성 쇼크와 사망의 관계가 아님.,Y(본문),held-out,,regex,Q17,N,성과개선 프로그램과 사망률 감소의 연관성이며 패혈성 쇼크와 사망의 관계가 아님.
9,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",,,Y(본문),예시,06_longterm_goals,fewshot_llm_run2,Q18,Y,패혈증 환자가 사망 고위험이라고 직접 진술함.
2,Sepsis,increasesRiskOf,Death,"A large study examined the association between implementation of state-mandated sepsis protocols, compliance, and mortality.",N,프로토콜 시행·준수와 사망률의 연관을 다룰 뿐 패혈증이 사망 위험을 높인다는 서술이 없음.,Y(본문),예시,,regex,Q19,N,주정부 의무 프로토콜과 사망률의 연관성을 조사한 연구 소개일 뿐 패혈증의 위험 증가 진술이 없음.
11,HIV,associatedWith,Death,"Recent data emerging from Africa showed that higher volume fluid resuscitation in adults was associated with 1212 increased mortality, but the generalizability of these data is limited due to the high prevalence of HIV/AIDS and malnutrition in the patients enrolled and the resource-scarce conditions with limited access to ICUs [69].",N,고용량 수액과 사망률의 연관이며 HIV는 일반화 한계 요인으로만 언급됨.,Y(본문),held-out,,regex,Q20,N,수액량과 사망률의 연관성이며 HIV는 일반화 제한 요인으로만 언급됨.
5,MeanArterialPressure,increasesRiskOf,Death,Ninetyday mortality in the permissive hypotension and usual care groups was similar (41.0% vs 43.8%).,N,허용적 저혈압군과 일반치료군의 사망률이 비슷하다는 무차이 결과임.,Y(본문),held-out,,regex,Q21,N,허용적 저혈압군과 일반치료군의 사망률이 비슷하다고 하여 차이가 없음을 진술함.
8,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,,,Y(본문),gold 밖,04_ventilation,fewshot_llm_run2,Q22,Y,폐렴을 패혈증의 원인으로 직접 명시함.
