no,subject,predicate,object,evidence,근거가_지지하나(Y/부분/N),메모,원문에_evidence_있음(자동),gold_구분(검토 후 열람),chunk
1,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",,,Y(본문),gold 밖,01_intro_screening
2,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",,,Y(본문),held-out,01_intro_screening
3,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",,,Y(본문),gold 밖,01_intro_screening
4,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",,,Y(본문),gold 밖,01_intro_screening
5,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",,,Y(본문),gold 밖,01_intro_screening
6,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,,,Y(본문),gold 밖,01_intro_screening
7,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",,,Y(본문),held-out,02_infection
8,MeanArterialPressure,associatedWith,Death,"Delay in vasopressor initiation and achieving MAP of 65 is associated with increased mortality [390, 391].",,,Y(본문),gold 밖,03_haemodynamic
9,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",,,Y(본문),gold 밖,06_longterm_goals
10,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",,,Y(본문),held-out,06_longterm_goals
