no,subject,predicate,object,evidence,근거가_지지하나(Y/부분/N),메모,원문에_evidence_있음(자동),gold_구분(검토 후 열람),chunk
1,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 환자의 1/3~1/6을 사망시킨다고 직접 서술함.,Y(본문),예시,01_intro_screening
2,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 환자의 1/3~1/6을 사망시킨다고 직접 서술함.,Y(본문),held-out,01_intro_screening
3,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관이 잘 확립되었다고 직접 서술함.,Y(본문),gold 밖,01_intro_screening
4,Lactate,associatedWith,SepticShock,"Its use is currently recommended as part of the SSC Hour-1 sepsis bundle for those patients with sepsis [47, 48], and an elevated lactate is part of the Sepsis-3 definition of septic shock [49].",Y,젖산 상승이 패혈성 쇼크 Sepsis-3 정의의 일부라고 직접 서술함.,Y(본문),gold 밖,01_intro_screening
5,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 최종 진단 가능성을 높인다고 직접 서술함.,Y(본문),gold 밖,01_intro_screening
6,Hypotension,associatedWith,SepticShock,Recent definitions of septic shock include increases in lactate as evidence of cellular stress to accompany refractory hypotension [1].,Y,불응성 저혈압이 패혈성 쇼크 정의의 구성요소로 명시되어 연관이 직접 서술됨.,Y(본문),gold 밖,01_intro_screening
7,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 직접 언급함.,Y(본문),held-out,02_infection
8,Sepsis,causedBy,Pneumonia,Acute hypoxemic respiratory failure can result from causes of sepsis such as pneumonia or non-pulmonary infections resulting in ARDS.,Y,폐렴을 패혈증의 원인으로 직접 예시함.,Y(본문),gold 밖,04_ventilation
9,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 위험이 높다고 직접 서술함.,Y(본문),예시,06_longterm_goals
10,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 위험이 높다고 직접 서술함.,Y(본문),held-out,06_longterm_goals
