rule_id,padis_domain,source_page,source_section,source_text,patient_population,subject,relation,relation_candidate,object,recommendation_strength,evidence_quality,source_type,required_clinical_variables,mimic_availability,confidence,review_status,approved?,corrected_subject,corrected_relation,corrected_object,reviewer_note,experiment_usable,negation_present,rejection_reason
D-012,A-PADIS,7,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"If available, nefopam could be used to reduce the opioid consumption and opioid-associated side effects, such as nausea, after an evalua- tion of the risk-to-benefit ratio of all available analgesic options and patient reassessment for potential side effects (tachycardia, glaucoma, seizure, and delirium) (89–92).",Adult ICU,OpioidExposure,pending,"unknown_relation (subject=OpioidExposure, object=Delirium)",Delirium,pending,pending,recommendation,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.5,pending,,,,,,no,False,
D-014,A-PADIS,9,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The outcomes asso- ciated with opioid safety concerns such as ileus, duration of mechanical ventilation, immunosuppression, healthcare- associated infections, delirium, and both ICU and hospital LOS must be evaluated carefully.",Adult ICU,OpioidExposure,associatedWith,associatedWith (cue: associated with),Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",undecided,0.75,pending,,,,,,no,False,
D-015,A-PADIS,9,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"This includes analysis of liver and renal toxicities secondary to acetaminophen (all routes), hemodynamic instability second- ary to IV acetaminophen (85), risk of bleeding secondary to non-COX-1–selective NSAIDs, delirium, and neurotoxicity associated with ketamine (105), and hemodynamic alterations with IV lidocaine (100).",Adult ICU,Sedation,associatedWith,associatedWith (cue: associated with),Delirium,pending,pending,pending,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-017,A-PADIS,14,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"One recent cohort study not considered in the guideline evidence demonstrates that sedation intensity (sum of negative RASS measurements by number of assessments) independently, in an escalating dose-dependent relationship, predicts increased risk of death, delirium, and delayed time to extubation (177).",Adult ICU,Sedation,increasesRiskOf,increasesRiskOf (cue: predicts risk),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-019,A-PADIS,15,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The 2013 PAD guidelines suggest (in a conditional recommendation) that nonbenzodiazepine sedatives (either propofol or dexmedetomidine) are preferable to benzodiaz- epine sedatives (either midazolam or lorazepam) in critically ill, mechanically ventilated adults because of improved short- term outcomes such as ICU LOS, duration of mechanical ventilation, and delirium (1).",Adult ICU,BenzodiazepineExposure,preferredOver,preferredOver (heuristic: rather than/prefer),Delirium,pending,pending,recommendation,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-022,A-PADIS,16,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"The study with the lowest risk of bias (n = 366), Safety and Efficacy of Dexmedetomidine Compared With Midazolam (SEDCOM), had the greatest benefit for the time to extubation (MD, –1.90 d; 95% CI, –2.32 to –1.48) and delirium (RR, 0.71; 95% CI, 0.61–0.83) with dexmedetomidine compared with a benzodiazepine infusion, and influenced how the evidence was graded when developing this recommendation (167).",Adult ICU,BenzodiazepineExposure,increasesRiskOf,increasesRiskOf (cue: comparative delirium outcome),Delirium,pending,pending,evidence,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-023,A-PADIS,16,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Although the study by Xu et al (205) also showed reduced delirium with dexmedetomidine use, and the Dexmedetomidine V ersus Midazolam for Continuous Sedation in the ICU (MIDEX) study (203) demonstrated a shorter duration of mechanical ventilation with dexmedetomidine over a benzodiazepine infusion, pooled analysis of all evalu- ated studies did not show a significant benefit of dexmedeto- midine compared with a benzodiazepine infusion for duration of mechanical ventilation extubation (MD, –0.71 ",Adult ICU,BenzodiazepineExposure,decreasesRiskOf,decreasesRiskOf (cue: decrease/lower),Delirium,pending,pending,evidence,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,True,
D-025,A-PADIS,16,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"A single RCT, the Propofol V ersus Dexmedetomidine for Continuous Sedation in the ICU (PRODEX) study, showed a decreased incidence of delirium with dexmedetomidine at the single time point of 48 hours after sedation cessation (203).",Adult ICU,PropofolExposure,decreasesRiskOf,decreasesRiskOf (cue: decrease/lower),Delirium,pending,pending,evidence,"CAM-ICU,RASS,delirium_assessment,propofol_exposure",undecided,0.75,pending,,,,,,no,False,
D-027,A-PADIS,18,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"These events include more unplanned extubations and frequent reintubations (245, 247, 267, 268); greater unintentional device removal (268); longer ICU LOS (245); increased agitation; higher benzodiazepine, opioid, and antipsychotic medication use (244, 268); and increased risk for delirium or disorientation (257, 259, 268, 270, 271).",Adult ICU,BenzodiazepineExposure,increasesRiskOf,increasesRiskOf (cue: risk/increase),Delirium,pending,pending,risk_factor_statement,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
D-030,A-PADIS,18,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),"Ungraded Statement: For the following risk factors, strong evidence indicates that these are associated with delirium in critically ill adults: “modifiable”—benzodiazepine use and blood transfusions, and “nonmodifiable”—greater",Adult ICU,BenzodiazepineExposure,associatedWith,associatedWith (cue: association with delirium),Delirium,pending,pending,evidence,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",undecided,0.75,pending,,,,,,no,False,
