subject	predicate	object	fol	evidence
SepticShock	associatedWith	Death	∀x: Pred(SepticShock)(x) → HighMortality(x)	Despite some  inconsistency, a meta-analysis of 50 observational studies  on the effect of performance improvement programmes  showed that these programmes were associated with bet - ter adherence to sepsis bundles along with a reduction in
Sepsis	increasesRiskOf	Death	∀x: Pred(Sepsis)(x) → HighMortality(x)	A large study examined the association between  implementation of state-mandated sepsis protocols,  compliance, and mortality.
SepticShock	increasesRiskOf	Sepsis	∀x: SepticShock(x) --increasesRiskOf--> Sepsis(x)	We recommend against using qSOFA compared to SIRS, NEWS, or  MEWS as a single screening tool for sepsis or septic shock Strong recommendation, moderate-quality evidence Rationale The qSOFA uses 3 variables to predict death and pro - longed 
Lactate	increasesRiskOf	Death	∀x: Pred(Lactate)(x) → HighMortality(x)	For adults suspected of having sepsis, we suggest measuring blood  lactate Weak recommendation, low-quality evidence Rationale The association of lactate level with mortality in patients  with suspected infection and sepsis is well establis
MeanArterialPressure	increasesRiskOf	Death	∀x: Pred(MeanArterialPressure)(x) → HighMortality(x)	Ninetyday mortality in the permissive hypotension and usual  care groups was similar (41.0% vs 43.8%).
Sepsis	associatedWith	Death	∀x: Pred(Sepsis)(x) → HighMortality(x)	Delayed admissions of critically ill  patients from ED are associated with decreased sepsis  bundle compliance and increased mortality, ventilator  duration, and ICU and hospital length of stay [84].
SepticShock	associatedWith	Sepsis	∀x: SepticShock(x) --associatedWith--> Sepsis(x)	The mortality reduction associated with early antimi - crobials appears strongest in patients with septic shock,  where a number of studies have reported a strong asso - ciation between time-to-antibiotics and death in patients  with septic
SepticShock	increasesRiskOf	Death	∀x: Pred(SepticShock)(x) → HighMortality(x)	Overall, given the high risk of death with septic shock  and the strong association of antimicrobial timing and  mortality, the panel issued a strong recommendation to  administer antimicrobials immediately, and within 1 h,  in all patients
Age	increasesRiskOf	Death	∀x: Pred(Age)(x) → HighMortality(x)	1 Recommendations on timing of antibiotic administration 1189 broad-spectrum regimens including agents active against  MRSA were associated with higher mortality, particularly  among patients without MRSA [137, 151, 155, 156].
Pneumonia	increasesRiskOf	Death	∀x: Pred(Pneumonia)(x) → HighMortality(x)	While there appears to be no overall effect of neu - raminidase inhibitors on mortality in patients with influ - enza-related pneumonia, there may be an effect when  administered early in the course of the disease [225].
HIV	associatedWith	Death	∀x: Pred(HIV)(x) → HighMortality(x)	Recent data emerging from Africa showed that higher  volume fluid resuscitation in adults was associated with  1212 increased mortality, but the generalizability of these data is  limited due to the high prevalence of HIV/AIDS and malnutrit
KidneyDisease	increasesRiskOf	Death	∀x: Pred(KidneyDisease)(x) → HighMortality(x)	Tonelli M, Manns B, Feller‑Kopman D (2002) Acute renal failure in the  intensive care unit: a systematic review of the impact of dialytic modal‑ ity on mortality and renal recovery.
