row_id,subject,predicate,object,evidence,판정,이유,src
Q01,SepticShock,associatedWith,Death,"Despite some inconsistency, a meta-analysis of 50 observational studies on the effect of performance improvement programmes showed that these programmes were associated with bet - ter adherence to sepsis bundles along with a reduction in mortality (OR 0.66; 95% CI 0.61–0.72) in patients with sepsis and septic shock [27].",N,성과개선 프로그램과 사망률 감소의 연관이며 패혈성 쇼크 자체와 사망의 관계 아님,regex
Q02,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관을 직접 명시,oneshot_run1
Q03,Lactate,associatedWith,Death,"The association of lactate level with mortality in patients with suspected infection and sepsis is well established [45, 46].",Y,젖산 수치와 사망률의 연관을 직접 명시,zeroshot_run2
Q04,SepticShock,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈성 쇼크 환자가 사망 고위험이라고 직접 명시,zeroshot_run2
Q05,SepticShock,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈성 쇼크가 3~6명 중 1명을 사망시킨다고 명시,oneshot_run2
Q06,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 연관됨을 명시,oneshot_run1
Q07,Sepsis,increasesRiskOf,Death,"Patients with sepsis or septic shock are at high risk of multi-organ failure, long-term functional sequelae, and death.",Y,패혈증 환자가 사망 고위험이라고 직접 명시,fewshot_run1
Q08,Sepsis,increasesRiskOf,Death,"Sepsis and septic shock are major healthcare problems, impacting millions of people around the world each year and killing between one in three and one in six of those it affects [2–4].",Y,패혈증이 3~6명 중 1명을 사망시킨다고 명시,oneshot_run2
Q09,Lactate,associatedWith,Sepsis,"In summary, the presence of an elevated or normal lactate level significantly increases or decreases, respectively, the likelihood of a final diagnosis of sepsis in patients with suspected sepsis.",Y,젖산 상승이 패혈증 진단 가능성과 연관됨을 명시,zeroshot_run1
Q10,SepticShock,increasesRiskOf,Death,"Overall, given the high risk of death with septic shock and the strong association of antimicrobial timing and mortality, the panel issued a strong recommendation to administer antimicrobials immediately, and within 1 h, in all patients with potential septic shock.",Y,패혈성 쇼크의 높은 사망 위험을 명시,oneshot_run2
