review_priority,rule_id,source_page,source_text,auto_source_type,auto_subject,auto_relation,auto_object,auto_negation_present,relation_candidate,in_gold_set,review_decision,approved?,corrected_source_type,corrected_subject,corrected_relation,corrected_object,corrected_negation_present,kg_edge_candidate,mimic_availability,experiment_usable,reviewer_note,rejection_reason,padis_domain,source_section,patient_population,required_clinical_variables,confidence,review_status
high,D-012,7,"If available, nefopam could be used to reduce the opioid consumption and opioid-associated side effects, such as nausea, after an evalua- tion of the risk-to-benefit ratio of all available analgesic options and patient reassessment for potential side effects (tachycardia, glaucoma, seizure, and delirium) (89–92).",recommendation,OpioidExposure,pending,Delirium,False,"unknown_relation (subject=OpioidExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.5,pending
high,D-014,9,"The outcomes asso- ciated with opioid safety concerns such as ileus, duration of mechanical ventilation, immunosuppression, healthcare- associated infections, delirium, and both ICU and hospital LOS must be evaluated carefully.",pending,OpioidExposure,associatedWith,Delirium,False,associatedWith (cue: associated with),no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,opioid_exposure",0.75,pending
high,D-015,9,"This includes analysis of liver and renal toxicities secondary to acetaminophen (all routes), hemodynamic instability second- ary to IV acetaminophen (85), risk of bleeding secondary to non-COX-1–selective NSAIDs, delirium, and neurotoxicity associated with ketamine (105), and hemodynamic alterations with IV lidocaine (100).",pending,Sedation,associatedWith,Delirium,False,associatedWith (cue: associated with),no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-017,14,"One recent cohort study not considered in the guideline evidence demonstrates that sedation intensity (sum of negative RASS measurements by number of assessments) independently, in an escalating dose-dependent relationship, predicts increased risk of death, delirium, and delayed time to extubation (177).",evidence,Sedation,increasesRiskOf,Delirium,False,increasesRiskOf (cue: predicts risk),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-019,15,"The 2013 PAD guidelines suggest (in a conditional recommendation) that nonbenzodiazepine sedatives (either propofol or dexmedetomidine) are preferable to benzodiaz- epine sedatives (either midazolam or lorazepam) in critically ill, mechanically ventilated adults because of improved short- term outcomes such as ICU LOS, duration of mechanical ventilation, and delirium (1).",recommendation,BenzodiazepineExposure,preferredOver,Delirium,False,preferredOver (heuristic: rather than/prefer),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-022,16,"The study with the lowest risk of bias (n = 366), Safety and Efficacy of Dexmedetomidine Compared With Midazolam (SEDCOM), had the greatest benefit for the time to extubation (MD, –1.90 d; 95% CI, –2.32 to –1.48) and delirium (RR, 0.71; 95% CI, 0.61–0.83) with dexmedetomidine compared with a benzodiazepine infusion, and influenced how the evidence was graded when developing this recommendation (167).",evidence,BenzodiazepineExposure,increasesRiskOf,Delirium,False,increasesRiskOf (cue: comparative delirium outcome),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-023,16,"Although the study by Xu et al (205) also showed reduced delirium with dexmedetomidine use, and the Dexmedetomidine V ersus Midazolam for Continuous Sedation in the ICU (MIDEX) study (203) demonstrated a shorter duration of mechanical ventilation with dexmedetomidine over a benzodiazepine infusion, pooled analysis of all evalu- ated studies did not show a significant benefit of dexmedeto- midine compared with a benzodiazepine infusion for duration of mechanical ventilation extubation (MD, –0.71 ",evidence,BenzodiazepineExposure,decreasesRiskOf,Delirium,True,decreasesRiskOf (cue: decrease/lower),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-025,16,"A single RCT, the Propofol V ersus Dexmedetomidine for Continuous Sedation in the ICU (PRODEX) study, showed a decreased incidence of delirium with dexmedetomidine at the single time point of 48 hours after sedation cessation (203).",evidence,PropofolExposure,decreasesRiskOf,Delirium,False,decreasesRiskOf (cue: decrease/lower),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,propofol_exposure",0.75,pending
high,D-027,18,"These events include more unplanned extubations and frequent reintubations (245, 247, 267, 268); greater unintentional device removal (268); longer ICU LOS (245); increased agitation; higher benzodiazepine, opioid, and antipsychotic medication use (244, 268); and increased risk for delirium or disorientation (257, 259, 268, 270, 271).",risk_factor_statement,BenzodiazepineExposure,increasesRiskOf,Delirium,False,increasesRiskOf (cue: risk/increase),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-030,18,"Ungraded Statement: For the following risk factors, strong evidence indicates that these are associated with delirium in critically ill adults: “modifiable”—benzodiazepine use and blood transfusions, and “nonmodifiable”—greater",evidence,BenzodiazepineExposure,associatedWith,Delirium,False,associatedWith (cue: association with delirium),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-031,19,"Benzodiazepine use and blood transfusion administration are the only two modifiable factors with strong evidence for an asso- ciation with delirium detected by screening tools (Supplemental T able 22, Supplemental Digital Content 30, http://links.lww.",evidence,BenzodiazepineExposure,associatedWith,Delirium,False,associatedWith (cue: association with delirium),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,benzodiazepine_exposure,delirium_assessment",0.75,pending
high,D-039,20,The CAM-ICU arm had a signifi- cantly lower proportion of nursing shifts with delirium and a shorter duration of delirium when compared with the period of unstructured assessments.,evidence,CAM_ICU,decreasesRiskOf,Delirium,False,decreasesRiskOf (cue: decrease/lower),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-041,20,"In the context of the criteria needed to generate a best prac- tice statement, we felt that the benefits of widespread delirium assessment with the CAM-ICU or the ICDSC far outweigh any potential disadvantages.",recommendation,CAM_ICU,pending,Delirium,False,"unknown_relation (subject=CAM_ICU, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
high,D-052,21,"Recommendation: We suggest not using haloperidol, an atypical antipsychotic, dexmedetomidine, a β-Hydroxy β-methylglutaryl-Coenzyme A (HMG-CoA) reductase inhibi- tor (i.e., statin), or ketamine to prevent delirium in all critically ill adults (conditional recommendation, very low to low qual- ity of evidence).",recommendation,DexmedetomidineExposure,pending,Delirium,True,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
high,D-054,21,"Each study reported a significant reduc- tion in delirium incidence favoring the pharmacologic agent: scheduled IV haloperidol (n = 457) after noncardiac surgery (RR, 0.66; 95% CI, 0.45–0.97; low quality) (366); a single dose of risperidone (n = 126) following elective cardiac surgery (RR, 0.35; 95% CI, 0.16–0.77; low quality) (366); and scheduled, low-dose dexmedetomidine (n = 700) after noncardiac surgery (odds ratio [OR], 0.35; 95% CI, 0.22–0.54; low quality) (368).",evidence,DexmedetomidineExposure,decreasesRiskOf,Delirium,False,decreasesRiskOf (cue: decrease/lower),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.75,pending
high,D-056,22,"Another sug- gested that nocturnal administration of low-dose dexmedeto- midine in critically ill adults with APACHE-II scores of 22 (sd, ± 7.8) was associated with a significantly greater proportion of patients who remained delirium free (80% vs 54%; p = 0.008) during their ICU stay (370).",evidence,DexmedetomidineExposure,associatedWith,Delirium,False,associatedWith (cue: associated with),no,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.75,pending
high,D-059,22,"Recommendation: We suggest not using haloperidol or an atypical antipsychotic to treat subsyndromal delirium in criti- cally ill adults (conditional recommendations, very low to low quality of evidence).",recommendation,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
high,D-060,22,Duration of subsyndromal delirium when evaluated using the CAM-ICU is an independent predictor of increased odds of institutionalization (376).,evidence,CAM_ICU,increasesRiskOf,Delirium,False,increasesRiskOf (cue: predicts risk),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-063,22,"Risperidone (0.5 mg every 8 hr), when compared with placebo in 101 cardiac surgery patients, was associated with a reduced likelihood for a transition from subsyndromal to full- syndrome delirium (RR, 0.41; 95% CI, 0.02–0.86) (378).",evidence,Sedation,increasesRiskOf,Delirium,False,increasesRiskOf (cue: comparative delirium outcome),no,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-065,22,"Recommendation: We suggest not routinely using halo- peridol, an atypical antipsychotic, or a HMG-CoA reductase inhibitor (i.e., a statin) to treat delirium (conditional recom- mendation, low quality of evidence).",recommendation,Sedation,pending,Delirium,True,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
high,D-071,23,Panel members judged that the undesirable consequences of using either haloperidol or an atypical antipsychotic far outweighed the potential benefits for most critically adults with delirium and thus issued a condi- tional recommendation against their routine use.,recommendation,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
high,D-072,23,"Recommendation: We suggest using dexmedetomidine for delirium in mechanically ventilated adults where agitation is precluding weaning/extubation (conditional recommenda- tion, low quality of evidence).",recommendation,DexmedetomidineExposure,pending,Delirium,False,"unknown_relation (subject=DexmedetomidineExposure, object=Delirium)",yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment,dexmedetomidine_exposure",0.5,pending
high,D-076,24,"When a revised and expanded ABCDEF bun- dle (which includes a focus on “F, ” Family engagement) was evaluated in a larger, multicenter, before-after, cohort study, and where delirium was also assessed using the CAM-ICU, an adjusted analysis showed that improvements in bundle com- pliance were significantly associated with reduced mortality and more ICU days without coma or delirium (9).",evidence,CAM_ICU,decreasesRiskOf,Delirium,False,decreasesRiskOf (cue: decrease/lower),yes,,,,,,,,maybe,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.75,pending
high,D-078,26,"The influence of patient condi- tions (e.g., pre-ICU functional status, delirium and sedation status, muscle wasting, and nerve and muscle dysfunction) on patient outcomes after rehabilitation/mobilization interven- tions should be examined.",recommendation,Sedation,pending,Delirium,False,"unknown_relation (subject=Sedation, object=Delirium)",no,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
medium,D-007,3,"Conclusions: We found substantial agreement among a large, inter- disciplinary cohort of international experts regarding evidence sup- porting recommendations, and the remaining literature gaps in the assessment, prevention, and treatment of Pain, Agitation/sedation, Delirium, Immobility (mobilization/rehabilitation), and Sleep (disrup- tion) in critically ill adults.",research_gap,Sedation,pending,Delirium,True,null_effect_or_gap (no directional relation),yes,,,,,,,,no,undecided,no,,,A-PADIS,PADIS Full: Agitation/Sedation + Delirium (heuristic section window),Adult ICU,"CAM-ICU,RASS,delirium_assessment",0.5,pending
